0	0	0	hello
0	0	0	hi eliza
1	0	0	how are you
0	0	0	I don't know
0	0	0	i dont know
0	0	0	not sure
0	0	0	maybe
1	0	0	why?
1	0	0	why do you ask
1	0	0	what do you mean
1	1	0	what is the point?
0	0	0	nothing
0	0	0	no
0	0	0	yes
0	0	0	I guess so
0	1	0	i need help
1	1	0	can you help me
0	1	0	I feel sad
0	1	0	i am so tired of everything
0	1	0	nobody cares about me
0	1	0	i feel like a failure
0	1	0	my dog died last week
0	1	0	it won't bring back my pet
0	1	0	i lost my job
0	1	0	my boss hates me
0	1	0	work is stressful
0	1	0	i can't sleep
0	1	0	i have been drinking too much
0	1	0	my mother never listens to me
0	1	0	my dad left when i was young
0	1	0	my wife wants a divorce
0	1	0	my kids don't respect me
0	1	0	i miss my grandmother
0	0	0	i want to be happy
0	1	0	i wish things were different
0	0	0	i need a vacation
0	0	0	i had a strange dream last night
0	1	0	i keep having the same nightmare
1	0	0	do you understand me?
1	0	0	are you a computer?
0	1	0	you are just a program
0	0	0	computers can't feel anything
0	1	0	i hate you
0	1	0	you don't understand
0	1	0	this is stupid
0	0	0	tell me a joke
1	0	0	what should i do?
0	1	0	i am afraid of dying
0	1	0	everyone hates me
0	1	0	i always mess things up
0	1	0	my girlfriend cheated on me
0	1	0	i am lonely
0	1	0	life is hard
0	0	1	thank you
0	0	0	goodbye
0	0	0	sorry
0	1	0	i think i am depressed
0	1	0	my brother is sick
0	0	1	i bought a new car
0	0	0	it rained all day
0	0	0	this is fine
0	0	0	it's over 9000
0	0	0	never gonna give you up
0	1	0	touch grass
0	1	0	ok boomer
0	1	0	skill issue
0	0	0	no cap
0	0	0	that's sus
0	0	0	i can haz cheezburger
0	0	0	the cake is a lie
0	0	0	asdf
0	0	0	123
0	0	1	lol
1	0	0	?
0	0	0	pineapple belongs on pizza
0	0	0	the mitochondria is the powerhouse of the cell
0	1	0	my flight got cancelled
0	1	0	i failed my exam
0	1	0	my cat knocked over my coffee
0	0	1	i'm getting married next week
0	1	0	i think my roommate is stealing my food
0	0	1	i got promoted today
0	1	0	my car broke down on the highway
0	0	0	i have a job interview tomorrow
0	1	0	my phone battery is always dying
0	1	0	i spilled wine on the carpet
0	1	0	my landlord raised the rent
0	1	0	my best friend moved away
0	0	0	i ate too much pizza
0	1	0	i am addicted to my phone
0	1	0	my code won't compile
0	0	0	i think my computer is haunted
0	0	0	chatgpt is better than you
1	0	0	are you sentient
1	0	0	do you dream
1	0	0	what is the meaning of life
