hello	0	0	0
hi	0	0	0
hey	0	0	0
good morning	0	0	0
good afternoon	0	0	0
greetings	0	0	0
howdy	0	0	0
hello eliza	0	0	0
hi eliza	0	0	0
hey eliza	0	0	0
good morning eliza	0	0	0
good afternoon eliza	0	0	0
greetings eliza	0	0	0
howdy eliza	0	0	0
hello there	0	0	0
hi there	0	0	0
hey there	0	0	0
good morning there	0	0	0
good afternoon there	0	0	0
greetings there	0	0	0
howdy there	0	0	0
hello doctor	0	0	0
hi doctor	0	0	0
hey doctor	0	0	0
good morning doctor	0	0	0
good afternoon doctor	0	0	0
greetings doctor	0	0	0
howdy doctor	0	0	0
well hello there	0	0	0
well hi there	0	0	0
well hey there	0	0	0
well good morning there	0	0	0
well good afternoon there	0	0	0
well greetings there	0	0	0
well howdy there	0	0	0
hello again	0	0	0
hi again	0	0	0
hey again	0	0	0
good morning again	0	0	0
good afternoon again	0	0	0
greetings again	0	0	0
howdy again	0	0	0
my mother never listens to me	0	1	0
my father never listens to me	0	1	0
my mom never listens to me	0	1	0
my dad never listens to me	0	1	0
my sister never listens to me	0	1	0
my brother never listens to me	0	1	0
my parents never listens to me	0	1	0
my wife never listens to me	0	1	0
my husband never listens to me	0	1	0
my son never listens to me	0	1	0
my daughter never listens to me	0	1	0
my grandmother never listens to me	0	1	0
my girlfriend never listens to me	0	1	0
my boyfriend never listens to me	0	1	0
i argued with my mother today	0	1	0
i argued with my father today	0	1	0
i argued with my mom today	0	1	0
i argued with my dad today	0	1	0
i argued with my sister today	0	1	0
i argued with my brother today	0	1	0
i argued with my parents today	0	1	0
i argued with my wife today	0	1	0
i argued with my husband today	0	1	0
i argued with my son today	0	1	0
i argued with my daughter today	0	1	0
i argued with my grandmother today	0	1	0
i argued with my girlfriend today	0	1	0
i argued with my boyfriend today	0	1	0
do you think my mother loves me?	1	0	0
do you think my father loves me?	1	0	0
do you think my mom loves me?	1	0	0
do you think my dad loves me?	1	0	0
do you think my sister loves me?	1	0	0
do you think my brother loves me?	1	0	0
do you think my parents loves me?	1	0	0
do you think my wife loves me?	1	0	0
do you think my husband loves me?	1	0	0
do you think my son loves me?	1	0	0
do you think my daughter loves me?	1	0	0
do you think my grandmother loves me?	1	0	0
do you think my girlfriend loves me?	1	0	0
do you think my boyfriend loves me?	1	0	0
my mother is always on my case	0	1	0
my father is always on my case	0	1	0
my mom is always on my case	0	1	0
my dad is always on my case	0	1	0
my sister is always on my case	0	1	0
my brother is always on my case	0	1	0
my parents is always on my case	0	1	0
my wife is always on my case	0	1	0
my husband is always on my case	0	1	0
my son is always on my case	0	1	0
my daughter is always on my case	0	1	0
my grandmother is always on my case	0	1	0
my girlfriend is always on my case	0	1	0
my boyfriend is always on my case	0	1	0
i really miss my mother	0	1	0
i really miss my father	0	1	0
i really miss my mom	0	1	0
i really miss my dad	0	1	0
i really miss my sister	0	1	0
i really miss my brother	0	1	0
i really miss my parents	0	1	0
i really miss my wife	0	1	0
i really miss my husband	0	1	0
i really miss my son	0	1	0
i really miss my daughter	0	1	0
i really miss my grandmother	0	1	0
i really miss my girlfriend	0	1	0
i really miss my boyfriend	0	1	0
you remind me of my mother	0	0	0
you remind me of my father	0	0	0
you remind me of my mom	0	0	0
you remind me of my dad	0	0	0
you remind me of my sister	0	0	0
you remind me of my brother	0	0	0
you remind me of my parents	0	0	0
you remind me of my wife	0	0	0
you remind me of my husband	0	0	0
you remind me of my son	0	0	0
you remind me of my daughter	0	0	0
you remind me of my grandmother	0	0	0
you remind me of my girlfriend	0	0	0
you remind me of my boyfriend	0	0	0
i feel sad	0	1	0
i feel anxious	0	1	0
i feel lonely	0	1	0
i feel depressed	0	1	0
i feel miserable	0	1	0
i feel empty	0	1	0
i feel angry	0	1	0
i feel tired	0	1	0
i feel scared	0	1	0
i feel hopeless	0	1	0
i feel stressed	0	1	0
i feel afraid	0	1	0
i feel happy	0	0	1
i feel great	0	0	1
i feel better	0	0	1
i feel excited	0	0	1
i feel relieved	0	0	1
i feel hopeful	0	0	1
i have been so sad lately	0	1	0
i have been so anxious lately	0	1	0
i have been so lonely lately	0	1	0
i have been so depressed lately	0	1	0
i have been so miserable lately	0	1	0
i have been so empty lately	0	1	0
i have been so angry lately	0	1	0
i have been so tired lately	0	1	0
i have been so scared lately	0	1	0
i have been so hopeless lately	0	1	0
i have been so stressed lately	0	1	0
i have been so afraid lately	0	1	0
i have been so happy lately	0	0	1
i have been so great lately	0	0	1
i have been so better lately	0	0	1
i have been so excited lately	0	0	1
i have been so relieved lately	0	0	1
i have been so hopeful lately	0	0	1
do you ever feel sad?	1	1	0
do you ever feel anxious?	1	1	0
do you ever feel lonely?	1	1	0
do you ever feel depressed?	1	1	0
do you ever feel miserable?	1	1	0
do you ever feel empty?	1	1	0
do you ever feel angry?	1	1	0
do you ever feel tired?	1	1	0
do you ever feel scared?	1	1	0
do you ever feel hopeless?	1	1	0
do you ever feel stressed?	1	1	0
do you ever feel afraid?	1	1	0
do you ever feel happy?	1	0	1
do you ever feel great?	1	0	1
do you ever feel better?	1	0	1
do you ever feel excited?	1	0	1
do you ever feel relieved?	1	0	1
do you ever feel hopeful?	1	0	1
i am sad today	0	1	0
i am anxious today	0	1	0
i am lonely today	0	1	0
i am depressed today	0	1	0
i am miserable today	0	1	0
i am empty today	0	1	0
i am angry today	0	1	0
i am tired today	0	1	0
i am scared today	0	1	0
i am hopeless today	0	1	0
i am stressed today	0	1	0
i am afraid today	0	1	0
i am happy today	0	0	1
i am great today	0	0	1
i am better today	0	0	1
i am excited today	0	0	1
i am relieved today	0	0	1
i am hopeful today	0	0	1
everything makes me sad	0	1	0
everything makes me anxious	0	1	0
everything makes me lonely	0	1	0
everything makes me depressed	0	1	0
everything makes me miserable	0	1	0
everything makes me empty	0	1	0
everything makes me angry	0	1	0
everything makes me tired	0	1	0
everything makes me scared	0	1	0
everything makes me hopeless	0	1	0
everything makes me stressed	0	1	0
everything makes me afraid	0	1	0
everything makes me happy	0	0	1
everything makes me great	0	0	1
everything makes me better	0	0	1
everything makes me excited	0	0	1
everything makes me relieved	0	0	1
everything makes me hopeful	0	0	1
i think i am sad	0	1	0
i think i am anxious	0	1	0
i think i am lonely	0	1	0
i think i am depressed	0	1	0
i think i am miserable	0	1	0
i think i am empty	0	1	0
i think i am angry	0	1	0
i think i am tired	0	1	0
i think i am scared	0	1	0
i think i am hopeless	0	1	0
i think i am stressed	0	1	0
i think i am afraid	0	1	0
i think i am happy	0	0	1
i think i am great	0	0	1
i think i am better	0	0	1
i think i am excited	0	0	1
i think i am relieved	0	0	1
i think i am hopeful	0	0	1
i want a vacation	0	0	0
i want more money	0	0	0
i want some peace	0	0	0
i want a fresh start	0	0	0
i want someone to talk to	0	0	0
i want help	0	0	0
i want a break	0	0	0
i want to be happy	0	0	0
i want a better life	0	0	0
i wish i had a vacation	0	0	0
i wish i had more money	0	0	0
i wish i had some peace	0	0	0
i wish i had a fresh start	0	0	0
i wish i had someone to talk to	0	0	0
i wish i had help	0	0	0
i wish i had a break	0	0	0
i wish i had to be happy	0	0	0
i wish i had a better life	0	0	0
all i need is a vacation	0	0	0
all i need is more money	0	0	0
all i need is some peace	0	0	0
all i need is a fresh start	0	0	0
all i need is someone to talk to	0	0	0
all i need is help	0	0	0
all i need is a break	0	0	0
all i need is to be happy	0	0	0
all i need is a better life	0	0	0
do you think i will ever get a vacation	1	0	0
do you think i will ever get more money	1	0	0
do you think i will ever get some peace	1	0	0
do you think i will ever get a fresh start	1	0	0
do you think i will ever get someone to talk to	1	0	0
do you think i will ever get help	1	0	0
do you think i will ever get a break	1	0	0
do you think i will ever get to be happy	1	0	0
do you think i will ever get a better life	1	0	0
i would really like a vacation	0	0	0
i would really like more money	0	0	0
i would really like some peace	0	0	0
i would really like a fresh start	0	0	0
i would really like someone to talk to	0	0	0
i would really like help	0	0	0
i would really like a break	0	0	0
i would really like to be happy	0	0	0
i would really like a better life	0	0	0
someday i hope for a vacation	0	0	0
someday i hope for more money	0	0	0
someday i hope for some peace	0	0	0
someday i hope for a fresh start	0	0	0
someday i hope for someone to talk to	0	0	0
someday i hope for help	0	0	0
someday i hope for a break	0	0	0
someday i hope for to be happy	0	0	0
someday i hope for a better life	0	0	0
i had a dream about falling	0	0	0
i had a dream about being chased	0	0	0
i had a dream about the ocean	0	0	0
i had a dream about my old school	0	0	0
i had a dream about flying	0	0	0
i had a dream about a dark house	0	0	0
i had a dream about my teeth falling out	0	0	0
i had a dream about a storm	0	0	0
last night i dreamt about falling	0	0	0
last night i dreamt about being chased	0	0	0
last night i dreamt about the ocean	0	0	0
last night i dreamt about my old school	0	0	0
last night i dreamt about flying	0	0	0
last night i dreamt about a dark house	0	0	0
last night i dreamt about my teeth falling out	0	0	0
last night i dreamt about a storm	0	0	0
i keep having nightmares about falling	0	1	0
i keep having nightmares about being chased	0	1	0
i keep having nightmares about the ocean	0	1	0
i keep having nightmares about my old school	0	1	0
i keep having nightmares about flying	0	1	0
i keep having nightmares about a dark house	0	1	0
i keep having nightmares about my teeth falling out	0	1	0
